TEAM,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,GA/G,W,L,OTL,SA,GA,PTS%
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,3.1,439,693,69,18.5,3,2326,10.9,1342,85,2.57,42,33,0,2079,211,0.512195122
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.06,433,684,73,20.3,9,2538,9.9,1053,86,2.28,51,21,0,2159,187,0.62195122
,,,,,,,,,,,,,,,,,,
Toronto Maple Leafs,82,3.04,426,675,54,15.5,9,2339,10.6,1212,84.5,2.52,43,29,0,2044,207,0.524390244
,,,,,,,,,,,,,,,,,,
San Jose Sharks,82,3.02,411,659,59,16,15,2228,11.1,1249,85.8,2.43,44,30,0,2335,199,0.536585366
,,,,,,,,,,,,,,,,,,
Ottawa Senators,82,2.96,383,626,55,16.6,11,2469,9.8,1347,84.4,2.54,39,34,0,2126,208,0.475609756
,,,,,,,,,,,,,,,,,,
New York Islanders,82,2.91,402,641,59,16.3,17,2319,10.3,1255,85.8,2.68,42,32,0,2285,220,0.512195122
,,,,,,,,,,,,,,,,,,
Boston Bruins,82,2.88,387,623,39,13.8,14,2596,9.1,1454,87.1,2.45,43,33,0,2057,201,0.524390244
,,,,,,,,,,,,,,,,,,
Philadelphia Flyers,82,2.85,386,620,39,13,8,2442,9.6,1242,86.3,2.34,42,30,0,2139,192,0.512195122
,,,,,,,,,,,,,,,,,,
Washington Capitals,82,2.78,393,621,58,19.4,2,2293,9.9,1043,82.2,2.93,36,35,0,2357,240,0.43902439
,,,,,,,,,,,,,,,,,,
Arizona Coyotes,82,2.78,381,609,53,15.6,8,2179,10.5,1154,83.1,2.56,40,33,0,2349,210,0.487804878
,,,,,,,,,,,,,,,,,,
New York Rangers,82,2.77,385,612,48,14.7,8,2392,9.5,1753,79.9,3.15,36,42,0,2618,258,0.43902439
,,,,,,,,,,,,,,,,,,
St. Louis Blues,82,2.77,391,618,62,17.4,5,2380,9.5,1343,85.2,2.29,43,31,0,1847,188,0.524390244
,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,82,2.65,369,586,63,16.1,4,2347,9.2,1022,83.7,2.65,35,31,0,2214,217,0.426829268
,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,82,2.63,385,601,54,17.9,4,2271,9.5,1234,81.5,2.52,41,28,0,2077,207,0.5
,,,,,,,,,,,,,,,,,,
Dallas Stars,82,2.62,367,582,60,17.1,7,2335,9.2,959,81.5,2.6,36,33,0,2135,213,0.43902439
,,,,,,,,,,,,,,,,,,
Los Angeles Kings,82,2.61,375,589,73,20.7,5,2110,10.1,1348,86.6,2.32,40,31,0,2051,190,0.487804878
,,,,,,,,,,,,,,,,,,
Buffalo Sabres,82,2.6,348,561,50,13.3,7,2295,9.3,1217,86.5,2.44,35,36,0,2120,200,0.426829268
,,,,,,,,,,,,,,,,,,
Colorado Avalanche,82,2.59,366,578,62,18,7,2252,9.4,1007,87,2.06,45,29,0,2177,169,0.548780488
,,,,,,,,,,,,,,,,,,
Montreal Canadiens,82,2.52,351,558,45,15,7,2092,9.9,974,86.3,2.55,36,34,0,2597,209,0.43902439
,,,,,,,,,,,,,,,,,,
Edmonton Oilers,82,2.5,343,548,51,15.3,12,2256,9.1,1267,85.6,2.22,38,32,0,2120,182,0.463414634
,,,,,,,,,,,,,,,,,,
New Jersey Devils,82,2.5,353,558,44,16.9,2,2445,8.4,1010,83.8,2.28,41,32,0,1900,187,0.5
,,,,,,,,,,,,,,,,,,
Calgary Flames,82,2.45,331,532,55,15.1,10,2207,9.1,1581,81.5,2.68,32,38,0,2242,220,0.390243902
,,,,,,,,,,,,,,,,,,
Pittsburgh Penguins,82,2.41,341,539,47,14,5,2215,8.9,1248,83.8,3.04,28,46,0,2394,249,0.341463415
,,,,,,,,,,,,,,,,,,
Nashville Predators,82,2.39,326,522,48,14.2,6,2019,9.7,1071,85.9,2.81,28,41,0,2314,230,0.341463415
,,,,,,,,,,,,,,,,,,
Minnesota Wild,82,2.38,329,524,55,14.7,11,1954,10,1209,82.9,2.9,26,44,0,2297,238,0.317073171
,,,,,,,,,,,,,,,,,,
Winnipeg Jets,82,2.28,292,479,37,12.1,3,1984,9.4,1290,81.8,3.51,19,52,0,2911,288,0.231707317
,,,,,,,,,,,,,,,,,,
Florida Panthers,82,2.2,300,480,50,14.7,8,2205,8.2,1994,80.7,3.05,22,50,0,2666,250,0.268292683
,,,,,,,,,,,,,,,,,,
Tampa Bay Lightning,82,2.17,303,481,46,14.7,6,2179,8.2,1072,85.3,2.67,27,44,0,2523,219,0.329268293
,,,,,,,,,,,,,,,,,,
Anaheim Ducks,82,2.13,295,470,43,11.5,4,2142,8.2,1254,86.1,2.42,29,45,0,2253,198,0.353658537
,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,82,2,276,440,50,14,3,2046,8,1198,83,3.11,22,52,0,2469,255,0.268292683
,,,,,,,,,,,,,,,,,,
Detroit Red Wings,82,3.28,459,728,76,23.8,11,2441,11,1214,85.4,2.48,48,24,0,2361,203,0.585365854
,,,,,,,,,,,,,,,,,,
Vancouver Canucks,82,3.22,458,722,87,20.7,12,2388,11.1,1178,84.1,2.54,45,24,0,2185,208,0.548780488
,,,,,,,,,,,,,,,,,,
